header,path,section,title,href,folder,name,Rebrand
How-to guides,How-to guides\Collect data\Route data\Export application data\Continuous export\Code samples\Export to SQL using Stream Analytics,How-to guides\Collect data\Route data\Export application data\Continuous export\Code samples\,Export to SQL using Stream Analytics,../application-insights/app-insights-code-sample-export-sql-stream-analytics.md,../application-insights/,app-insights-code-sample-export-sql-stream-analytics.md,
How-to guides,How-to guides\Collect data\Route data\Export application data\Continuous export\Code samples\Export to Stream Analytics,How-to guides\Collect data\Route data\Export application data\Continuous export\Code samples\,Export to Stream Analytics,../application-insights/app-insights-export-stream-analytics.md,../application-insights/,app-insights-export-stream-analytics.md,
How-to guides,How-to guides\Collect data\Route data\Export application data\Export data model,How-to guides\Collect data\Route data\Export application data\,Export data model,../application-insights/app-insights-export-data-model.md,../application-insights/,app-insights-export-data-model.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Search,How-to guides\Gain insights\Monitor applications\Application Insights portal\,Search,../application-insights/app-insights-diagnostic-search.md,../application-insights/,app-insights-diagnostic-search.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Metrics,How-to guides\Gain insights\Monitor applications\Application Insights portal\,Metrics,../application-insights/app-insights-metrics-explorer.md,../application-insights/,app-insights-metrics-explorer.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Live stream,How-to guides\Gain insights\Monitor applications\Application Insights portal\,Live stream,../application-insights/app-insights-live-stream.md,../application-insights/,app-insights-live-stream.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Application Map,How-to guides\Gain insights\Monitor applications\Application Insights portal\,Application Map,../application-insights/app-insights-app-map.md,../application-insights/,app-insights-app-map.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Transaction diagnostics,How-to guides\Gain insights\Monitor applications\Application Insights portal\,Transaction diagnostics,../application-insights/app-insights-transaction-diagnostics.md,../application-insights/,app-insights-transaction-diagnostics.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\HockeyApp data,How-to guides\Gain insights\Monitor applications\Application Insights portal\,HockeyApp data,../application-insights/app-insights-hockeyapp-bridge-app.md,../application-insights/,app-insights-hockeyapp-bridge-app.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio\F5 insights,How-to guides\Gain insights\Monitor applications\Visual Studio\,F5 insights,../application-insights/app-insights-visual-studio.md,../application-insights/,app-insights-visual-studio.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio\Trends,How-to guides\Gain insights\Monitor applications\Visual Studio\,Trends,../application-insights/app-insights-visual-studio-trends.md,../application-insights/,app-insights-visual-studio-trends.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio\CodeLens,How-to guides\Gain insights\Monitor applications\Visual Studio\,CodeLens,../application-insights/app-insights-visual-studio-codelens.md,../application-insights/,app-insights-visual-studio-codelens.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Overview,How-to guides\Gain insights\Monitor applications\Usage\,Overview,../application-insights/app-insights-usage-overview.md,../application-insights/,app-insights-usage-overview.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Send user context,How-to guides\Gain insights\Monitor applications\Usage\,Send user context,../application-insights/app-insights-usage-send-user-context.md,../application-insights/,app-insights-usage-send-user-context.md,
How-to guides,"How-to guides\Gain insights\Monitor applications\Usage\Users, Sessions, Events",How-to guides\Gain insights\Monitor applications\Usage\,"Users, Sessions, Events",../application-insights/app-insights-usage-segmentation.md,../application-insights/,app-insights-usage-segmentation.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Funnels,How-to guides\Gain insights\Monitor applications\Usage\,Funnels,../application-insights/usage-funnels.md,../application-insights/,usage-funnels.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Cohorts,How-to guides\Gain insights\Monitor applications\Usage\,Cohorts,../application-insights/app-insights-usage-cohorts.md,../application-insights/,app-insights-usage-cohorts.md,
