TableName,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Standard Property,Needs validation
OfficeActivity,MailboxGuid,38,System.String,string,Exchange GUID of the mailbox that was accessed.,No,
OfficeActivity,MailboxOwnerMasterAccountSid,41,System.String,string,Mailbox owner account's master account SID.,No,
OfficeActivity,MailboxOwnerSid,40,System.String,string,SID of the mailbox owner.,No,
OfficeActivity,MailboxOwnerUPN,39,System.String,string,Email address of the person who owns the mailbox that was accessed.,No,
OfficeActivity,ModifiedObjectResolvedName,31,System.String,string,User friendly name of the object that was modified by the cmdlet. This is logged only if the cmdlet modifies the object.,No,
OfficeActivity,ModifiedProperties,30,System.String,string,"Name of the property that was modified (for example, the Site Admin group), the new value of the modified property (for example, the user who was added as a site admin), and the previous value of the modified object. The property is included for admin events, such as adding a user as a member of a site or a site collection admin group.",No,
OfficeActivity,OfficeId,0,System.String,string,,No,
OfficeActivity,OfficeObjectId,9,System.String,string,,No,
OfficeActivity,OfficeTenantId,88,System.String,string,,No,
OfficeActivity,OfficeWorkload,7,System.String,string,"Office 365 service that the record refers to. Possible values are AzureActiveDirectory, Exchange, SharePoint.",No,
OfficeActivity,Operation,3,System.String,string,Name of the user or admin activity.,No,
OfficeActivity,OrganizationId,4,System.String,string,"The GUID for your organization's Office 365 tenant. This value will always be the same for your organization, regardless of the Office 365 service in which it occurs.",No,
OfficeActivity,OrganizationName,35,System.String,string,Name of the tenant.,No,
OfficeActivity,OriginatingServer,34,System.String,string,Name of the server the cmdlet was executed from.,No,
OfficeActivity,Parameters,32,System.String,string,Name and value for all parameters that were used with the cmdlet that is identified in the Operations property.,No,
OfficeActivity,RecordType,1,System.String,string,Type of operation performed.,No,
OfficeActivity,ResultStatus,8,System.String,string,"Indicates whether the action specified in the Operation property was successful or not. Possible values are Succeeded, PartiallySucceeded, or Failed. For Exchange admin activity, the value is either True or False.",No,
OfficeActivity,SendAsUserMailboxGuid,60,System.String,string, Exchange GUID of the mailbox that was accessed to send email as.,No,
OfficeActivity,SendAsUserSmtp,59,System.String,string,SMTP address of the user who is being impersonated.,No,
OfficeActivity,SendonBehalfOfUserMailboxGuid,62,System.String,string,Exchange GUID of the mailbox that was accessed to send mail on behalf of.,No,
OfficeActivity,SendOnBehalfOfUserSmtp,61,System.String,string,SMTP address of the user on whose behalf the email is sent.,No,
OfficeActivity,SharingType,27,System.String,string,Type of sharing permissions that were assigned to the user that the resource was shared with. User is identified by the UserSharedWith parameter.,No,
OfficeActivity,Site_,12,System.String,string,GUID of the site where the file or folder accessed by the user is located.,No,
OfficeActivity,Site_Url,19,System.String,string,URL of the site where the file or folder accessed by the user is located.,No,
OfficeActivity,Source_Name,15,System.String,string,Entity that triggered the audited operation. Possible values are SharePoint or ObjectModel.,No,
OfficeActivity,SourceFileExtension,22,System.String,string,File extension of the file that was accessed by the user. This property is blank if the object that was accessed is a folder.,No,
OfficeActivity,SourceFileName,21,System.String,string,Name of the file or folder accessed by the user.,No,
