service,folder,file,type,test,link,media name,mediafolder,folder match
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #thresholds,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-performance-diagnostics.md , Media    , True  , ./media/app-insights-proactive-diagnostics/smart_detection_configuration.png,app-insights-proactive-diagnostics/smart_detection_configuration.png,app-insights-proactive-diagnostics,FALSE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #thresholds,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-pricing.md , Media    , True  , ./media/app-insights-pricing/02-billing.png,app-insights-pricing/02-billing.png,app-insights-pricing,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
