filename,foldername,path,fullpath,tocheader,tocfolder,tocname,tocpath,title,description,services,documentationcenter,author,manager,editor,ms.assetid,ms.service,ms.workload,ms.tgt_pltfrm,ms.devlang,ms.topic,Type,ms.date,ms.author,ms.component
kubernetes.md,app,app,app\kubernetes.md,How-to guides,How-to guides\Gain insights\Monitor applications,How-to guides,How-to guides\Gain insights\Monitor applications\Monitor Kubernetes applications,Use Application Insights to monitor your Azure Kubernetes Service (AKS) or other Kubernetes hosted applications - Azure Monitor | Microsoft Docs,"Azure Monitor uses service mesh technology, Istio, on your Kubernetes cluster to provide application monitoring for any Kubernetes hosted application. This allows you to collect Application Insights telemetry pertaining to incoming and outgoing requests to and from pods running in your cluster.",application-insights,,tokaplan,carmonm,,,application-insights,,,,conceptual,conceptual,4/25/2019,alkaplan,
usage-cohorts.md,app,app,app\usage-cohorts.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Cohorts,Azure Application Insights usage cohorts | Microsoft Docs,"Analyze different sets or users, sessions, events, or operations that have something in common",application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,4/10/2018,daviste,
usage-funnels.md,app,app,app\usage-funnels.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Funnels,Azure Application Insights Funnels,Learn how you can use Funnels to discover how customers are interacting with your application.,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,7/17/2017,daviste,
usage-impact.md,app,app,app\usage-impact.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Impact,Azure Application Insights Usage Impact | Microsoft docs,Analyze how different properties potentially impact conversion rates for parts of your apps.,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,1/8/2019,daviste,
usage-overview.md,app,app,app\usage-overview.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Overview,Usage analysis with Azure Application Insights | Microsoft docs,Understand your users and what they do with your app.,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,10/10/2017,daviste,
usage-retention.md,app,app,app\usage-retention.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Retention,User retention analysis for web applications with Azure Application Insights | Microsoft docs,How many users return to your app?,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,5/3/2017,daviste,
usage-send-user-context.md,app,app,app\usage-send-user-context.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Send user context,Send user context IDs to enable usage experiences in Azure Application Insights | Microsoft Docs,"Track how users move through your service by assigning each of them a unique, persistent ID string in Application Insights.",application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,csharp,conceptual,conceptual,1/3/2019,daviste,
usage-flows.md,app,app,app\usage-flows.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\User Flows,Analyze user navigation patterns with User Flows in Azure Application Insights | Microsoft docs,Analyze how users navigate between the pages and features of your web app.,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,1/24/2018,daviste,
usage-segmentation.md,app,app,app\usage-segmentation.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,"How-to guides\Gain insights\Monitor applications\Usage\Users, Sessions, Events","User, session, and event analysis in Azure Application Insights | Microsoft docs",Demographic analysis of users of your web app.,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,1/24/2018,daviste,
usage-workbooks.md,app,app,app\usage-workbooks.md,How-to guides,How-to guides\Gain insights\Monitor applications\Usage,How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Workbooks,Create interactive reports with Azure Monitor workbooks | Microsoft docs,Simplify complex reporting with prebuilt and custom parameterized workbooks,application-insights,'',NumberByColors,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,9/19/2018,daviste,
visual-studio-codelens.md,app,app,app\visual-studio-codelens.md,How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio,How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio\CodeLens,Application Insights telemetry in Visual Studio CodeLens | Microsoft Docs,Quickly access your Application Insights request and exception telemetry with CodeLens in Visual Studio.,application-insights,.net,NumberByColors,carmonm,,93559e44-23cb-4b9d-8425-60f7f0d0a82c,application-insights,azure-vs,ibiza,,conceptual,conceptual,3/17/2017,daviste,
