CreatedAt,Assignee,Url,Title,Content
4/9/2020 18:41,femsulu,https://github.com/MicrosoftDocs/azure-docs/issues/52108,Microsoft Update setting in Install Wizard?,[articles/azure-monitor/platform/agent-windows.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/agent-windows.md)
4/8/2020 20:13,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52015,Consolidate log entries from multiple Azure subscriptions and tenants into one location,[articles/azure-monitor/platform/activity-log-collect.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/activity-log-collect.md)
4/8/2020 13:24,rboucher,https://github.com/MicrosoftDocs/azure-docs/issues/51975,No documentation of automation options,[articles/azure-monitor/platform/alerts-action-rules.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-action-rules.md)
4/8/2020 10:53,BhargaviAnnadevara-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51968,Broken link,[articles/azure-monitor/app/correlation.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/correlation.md)
4/7/2020 4:59,BhargaviAnnadevara-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51849,dashboard time range overwrites time range specified in query ,[articles/azure-monitor/learn/tutorial-app-dashboards.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/learn/tutorial-app-dashboards.md)
4/6/2020 20:12,bwren,https://github.com/MicrosoftDocs/azure-docs/issues/51820,Clarification on Soft-Delete,[articles/azure-monitor/platform/delete-workspace.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/delete-workspace.md)
4/6/2020 19:52,femsulu,https://github.com/MicrosoftDocs/azure-docs/issues/51819,Clarification Request,[articles/azure-monitor/platform/alerts-log-api-switch.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-log-api-switch.md)
4/5/2020 17:39,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51744,"Incorrect syntax ""helm install --name <name>""",[articles/azure-monitor/insights/container-insights-hybrid-setup.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-hybrid-setup.md)
4/5/2020 16:35,MGoedtel,https://github.com/MicrosoftDocs/azure-docs/issues/51740,"Deprecated command ""group deployment""",[articles/azure-monitor/insights/container-insights-hybrid-setup.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-hybrid-setup.md)
4/5/2020 12:03,KrishnaG-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51731,Error in query and right query added.,[articles/azure-monitor/log-query/json-data-structures.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/log-query/json-data-structures.md)
4/3/2020 7:36,SwathiDhanwada-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51622,How do I apply splitting on custom metric sent via TrackEvent?,[articles/azure-monitor/platform/metrics-charts.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/metrics-charts.md)
4/2/2020 10:52,ofirmanor,https://github.com/MicrosoftDocs/azure-docs/issues/51542,AlertTargetIDs,[articles/azure-monitor/platform/alerts-common-schema-definitions.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-definitions.md)
4/2/2020 10:49,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51541,"Resultcount not matching actually result in ""Number of Results"" examples",[articles/azure-monitor/platform/alerts-common-schema-definitions.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-definitions.md)
4/1/2020 14:16,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/51463,Is it enabled for my sub?,[articles/azure-monitor/insights/storage-insights-overview.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/storage-insights-overview.md)
