service,folder,file,type,link,media name,mediafolder,folder match
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , https://github.com/Microsoft/ApplicationInsights-JS/blob/master/API-reference.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , application-insights-correlation.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , application-insights-custom-operations-tracking.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-metrics-explorer.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-asp-net-exceptions.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-java-get-started.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-asp-net-trace-logs.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-java-trace-logs.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-asp-net-dependencies.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-java-agent.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-configuration-with-applicationinsights-config.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-metrics-explorer.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-api-filtering-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-api-filtering-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-api-filtering-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-api-filtering-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-api-filtering-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-configuration-with-applicationinsights-config.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-create-new-resource.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-configuration-with-applicationinsights-config.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , ../../includes/application-insights-limits.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-data-retention-privacy.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , https://github.com/Microsoft/ApplicationInsights-JS/blob/master/API-reference.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-export-telemetry.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-troubleshoot-faq.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-java-filter-telemetry.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-api-custom-events-metrics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-java-get-started.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-export-data-model.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-api-custom-events-metrics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-filtering-sampling.md , Article  , app-insights-troubleshoot-faq.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-overview.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-monitor-performance-live-website-now.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-visual-studio.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-dashboards.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-metrics-explorer.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-visual-studio-trends.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-sampling.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-monitor-performance-live-website-now.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-cloudservices.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-javascript.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-monitor-performance-live-website-now.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-api-custom-events-metrics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-asp-net-trace-logs.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-visual-studio.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-dashboards.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-analytics-tour.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-monitor-web-app-availability.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-proactive-diagnostics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-alerts.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net.md , Article  , app-insights-powershell.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-core.md , Article  , app-insights-usage-flows.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-core.md , Article  , app-insights-api-custom-events-metrics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-core.md , Article  , app-insights-monitor-web-app-availability.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-dependencies.md , Article  , app-insights-overview.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-dependencies.md , Article  , app-insights-api-custom-events-metrics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-dependencies.md , Article  , app-insights-asp-net.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-dependencies.md , Article  , app-insights-asp-net.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-dependencies.md , Article  , app-insights-azure-web-apps.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-asp-net-dependencies.md , Article  , ../cloud-services/cloud-services-dotnet-install-dotnet.md,,,
