"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","","index.yml"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\Log Analytics gateway","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","Log Analytics gateway","platform/gateway.md","platform/","gateway.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\Agent management","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","Agent management","platform/agent-manage.md","platform/","agent-manage.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\Agent Health","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","Agent Health","insights/solution-agenthealth.md","insights/","solution-agenthealth.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Overview","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Overview","platform/diagnostics-extension-overview.md","platform/","diagnostics-extension-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Send to Azure Storage","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Send to Azure Storage","platform/diagnostics-extension-to-storage.md","platform/","diagnostics-extension-to-storage.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Send to Application Insights","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Send to Application Insights","platform/diagnostics-extension-to-application-insights.md","platform/","diagnostics-extension-to-application-insights.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Send to Event Hubs","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Send to Event Hubs","platform/diagnostics-extension-stream-event-hubs.md","platform/","diagnostics-extension-stream-event-hubs.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Troubleshooting","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Troubleshooting","platform/diagnostics-extension-troubleshooting.md","platform/","diagnostics-extension-troubleshooting.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Prepare for JSON Lines diagnostic logs format","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Prepare for JSON Lines diagnostic logs format","platform/diagnostic-logs-append-blobs.md","platform/","diagnostic-logs-append-blobs.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\VM guest to Metrics","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","VM guest to Metrics","platform/collect-custom-metrics-guestos-resource-manager-vm.md  ","platform/","platform/collect-custom-metrics-guestos-resource-manager-vm.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Virtual machine scale set guest to Metrics","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Virtual machine scale set guest to Metrics","platform/collect-custom-metrics-guestos-resource-manager-vmss.md  ","platform/","platform/collect-custom-metrics-guestos-resource-manager-vmss.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\VM classic guest to Metrics","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","VM classic guest to Metrics","platform/collect-custom-metrics-guestos-vm-classic.md  ","platform/","platform/collect-custom-metrics-guestos-vm-classic.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\Cloud service guest to Metrics","How-to guides\Monitor resources\Monitor virtual machines\Agents\Azure Diagnostics extension\","Cloud service guest to Metrics","platform/collect-custom-metrics-guestos-vm-cloud-service-classic.md ","platform/","platform/collect-custom-metrics-guestos-vm-cloud-service-classic.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Troubleshoot\Log Analytics VM Extension","How-to guides\Monitor resources\Monitor virtual machines\Agents\Troubleshoot\","Log Analytics VM Extension","platform/vmext-troubleshoot.md","platform/","vmext-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Troubleshoot\Log Analytics Linux agent","How-to guides\Monitor resources\Monitor virtual machines\Agents\Troubleshoot\","Log Analytics Linux agent","platform/agent-linux-troubleshoot.md","platform/","agent-linux-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Overview","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Overview","platform/agent-data-sources.md","platform/","agent-data-sources.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Windows events","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Windows events","platform/data-sources-windows-events.md","platform/","data-sources-windows-events.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Custom JSON data","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Custom JSON data","platform/data-sources-json.md","platform/","data-sources-json.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\CollectD performance data","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","CollectD performance data","platform/data-sources-collectd.md","platform/","data-sources-collectd.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Syslog","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Syslog","platform/data-sources-syslog.md","platform/","data-sources-syslog.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Performance counters","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Performance counters","platform/data-sources-performance-counters.md","platform/","data-sources-performance-counters.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Linux application performance","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Linux application performance","platform/data-sources-linux-applications.md","platform/","data-sources-linux-applications.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\IIS logs","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","IIS logs","platform/data-sources-iis-logs.md","platform/","data-sources-iis-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Custom logs","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Custom logs","platform/data-sources-custom-logs.md","platform/","data-sources-custom-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\Custom fields","How-to guides\Monitor resources\Monitor virtual machines\Agent data sources\","Custom fields","platform/custom-fields.md","platform/","custom-fields.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Overview","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Overview","insights/vminsights-overview.md","insights/","vminsights-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Known issues","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Known issues","insights/vminsights-known-issues.md","insights/","vminsights-known-issues.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\FAQ","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","FAQ","insights/vminsights-faq.md","insights/","vminsights-faq.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\Enable monitoring overview","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\","Enable monitoring overview","insights/vminsights-enable-overview.md","insights/","vminsights-enable-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\Enable for single Azure VM","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\","Enable for single Azure VM","insights/vminsights-enable-single-vm.md","insights/","vminsights-enable-single-vm.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\Enable using Azure Policy","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\","Enable using Azure Policy","insights/vminsights-enable-at-scale-policy.md","insights/","vminsights-enable-at-scale-policy.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\Enable using Azure PowerShell","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\","Enable using Azure PowerShell","insights/vminsights-enable-at-scale-powershell.md","insights/","vminsights-enable-at-scale-powershell.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\Enable for Hybrid environment","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Enable monitoring\","Enable for Hybrid environment","insights/vminsights-enable-hybrid-cloud.md","insights/","vminsights-enable-hybrid-cloud.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Monitor health","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Monitor health","insights/vminsights-health.md","insights/","vminsights-health.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Map dependencies","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Map dependencies","insights/vminsights-maps.md","insights/","vminsights-maps.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Monitor performance","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Monitor performance","insights/vminsights-performance.md","insights/","vminsights-performance.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Using workbooks","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Using workbooks","insights/vminsights-workbooks.md","insights/","vminsights-workbooks.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Analyze data with log queries","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Analyze data with log queries","insights/vminsights-log-search.md","insights/","vminsights-log-search.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\Disable monitoring","How-to guides\Monitor resources\Monitor virtual machines\Azure Monitor for VMs\","Disable monitoring","insights/vminsights-optout.md","insights/","vminsights-optout.md"
