"CreatedAt","Assignee","Url","Title","Service","Content"
"6/9/2020 12:22:34 PM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/56707","Python3 support","azure-monitor","[articles/azure-monitor/platform/data-collector-api.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-collector-api.md)"
"6/9/2020 12:21:24 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56706","Link to deprecated page","azure-monitor","[articles/azure-monitor/app/asp-net.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net.md)"
"6/9/2020 11:17:32 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56703","Links are broken in ""Platform/Language specific guidance"" section","azure-monitor","[articles/azure-monitor/app/data-retention-privacy.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/data-retention-privacy.md)"
"6/8/2020 9:00:06 PM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/56666","Question for the FAQ ","azure-monitor","[articles/azure-monitor/platform/alerts-action-rules.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/alerts-action-rules.md)"
"6/8/2020 6:34:47 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56655","C# version used","azure-monitor","[articles/azure-monitor/app/usage-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/usage-overview.md)"
"6/8/2020 6:56:56 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/56593",".NET Core Troubleshooting Logs nuget package name #25658","azure-monitor","[articles/azure-monitor/app/asp-net-troubleshoot-no-data.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-troubleshoot-no-data.md)"
"6/6/2020 6:04:12 PM","MarileeTurscak-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56543","Incorrect Link for Azure Monitor VM's","azure-monitor","[articles/azure-monitor/monitor-reference.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/monitor-reference.md)"
"6/5/2020 11:18:11 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/56517","Confusing or incomplete documentation","azure-monitor","[articles/azure-monitor/app/ilogger.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/ilogger.md)"
"6/5/2020 9:17:44 PM","cweining","https://github.com/MicrosoftDocs/azure-docs/issues/56509","Step 2 is entirely unnecessary and misleading.  Step 1 doesn't clearly capture exactly where the ""Configuration"" link is. ","azure-monitor","[articles/azure-monitor/app/profiler.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/profiler.md)"
"6/5/2020 5:06:17 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56485","Broken MD link in Azure Monitor Private Storage page","azure-monitor","[articles/azure-monitor/platform/private-storage.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/private-storage.md)"
